subject,sentence,context,sentence_length,maxF0,meanF0,keyword
subj5_shorten_mono,Liam doesn't know many alumni,not > most/many,1969.772,395.2522983,258.8773267,alumnus
subj5_shorten_mono,all the woolining wasn't worn,all > not,1734.128,303.582522,225.6283847,wool
subj5_shorten_mono,all the woolling wasn't worn,not > all,1807.74,358.7333586,230.8644963,wool
subj5_shorten_mono,Neil doesn't enjoy most musicals,most/many > not,1921.044,356.2882759,243.1464912,musical 
subj5_shorten_mono,Neil doesn't enjoy most musicals,not > most/many,2238.158,350.1247174,249.6947183,musical 
subj5_shorten_mono,all the moms didn't allow eyeliner,not > all,2104.84,314.753614,210.1704632,eyeliner
subj5_shorten_mono,all the moms didn't allow eyeliner,all > not,1785.738,275.1737458,212.1276469,eyeliner
subj6_shorten_mono,all the magnolias won't bloom,not > all,1496.998,200.7698086,116.6544915,magnolia
subj6_shorten_mono,all the magnolias won't bloom,all > not,1633.777,335.6563277,158.9015277,magnolia
subj6_shorten_mono,Liam doesn't know many alumnis,most/many > not,1652.405,303.8329962,222.9207182,alumnus
subj6_shorten_mono,Liam doesn't know many alumni,not > most/many,1782.123,270.6868416,178.4226157,alumnus
subj6_shorten_mono,all the woollining wasn't worn,all > not,1766.578,212.006249,136.3350747,wool
subj6_shorten_mono,all the woollining wasn't worn,not > all,1524.521,197.5564468,124.2183078,wool
subj6_shorten_mono,Neil doesn't enjoy most musicals,most/many > not,2072.973,260.1835252,169.4991437,musical 
subj6_shorten_mono,Neil doesn't enjoy most musicals,not > most/many,2047.627,202.5285839,164.1857392,musical 
subj6_shorten_mono,all the moms didn't allow eyeliner,not > all,1754.942,335.5321338,201.1494849,eyeliner
subj6_shorten_mono,all the moms didn't allow eyeliner,all > not,2044.452,327.1105128,145.9341171,eyeliner
subj7_shorten_mono,all the magnolias won't bloom,not > all,1581.772,248.9463189,185.426057,magnolia
subj7_shorten_mono,all the magnolias won't bloom,all > not,1664.256,267.7214808,216.7024667,magnolia
subj7_shorten_mono,Liam doesn't know many alumni,most/many > not,1714.471,272.4163821,218.2868821,alumnus
subj7_shorten_mono,Liam doesn't know many alumni,not > most/many,1601.906,335.5865181,202.4281225,alumnus
subj7_shorten_mono,all the woollining wasn't worn,all > not,1788.965,379.6057373,260.8234256,wool
subj7_shorten_mono,all the woollining wasn't worn,not > all,1665.957,289.0011671,198.5129146,wool
subj7_shorten_mono,Neil doesn't enjoy most musicals,most/many > not,1786.364,281.9863977,202.675057,musical 
subj7_shorten_mono,Neil doesn't enjoy most musicals,not > most/many,1843.355,250.9770065,194.4589078,musical 
subj7_shorten_mono,all the moms didn't allow eyeliner,not > all,1836.848,401.840051,191.8571708,eyeliner
subj7_shorten_mono,all the moms didn't allow eyeliner,all > not,2194.177,271.6213426,188.56768,eyeliner
subj9_shorten_mono,all the magnolias won't bloom,not > all,2642.67,200.0670871,147.649145,magnolia
subj9_shorten_mono,all the magnolias won't bloom,all > not,2602.624,210.1933793,158.2946641,magnolia
subj9_shorten_mono,Liam doesn't know many alumni,most/many > not,2240.763,318.7462945,170.3768862,alumnus
subj9_shorten_mono,Liam doesn't know many alumni,not > most/many,2129.343,268.1889324,145.5030356,alumnus
subj9_shorten_mono,all the woollining wasn't worn,all > not,2700.081,177.9364884,142.7180028,wool
subj9_shorten_mono,all the woollining wasn't worn,not > all,2165.054,315.5704405,151.6585212,wool
subj9_shorten_mono,Neil doesn't enjoy most musicals,most/many > not,3018.719,248.8112943,149.9759631,musical 
subj9_shorten_mono,Neil doesn't enjoy most musicals,not > most/many,2549.101,206.6020061,154.0312551,musical 
subj9_shorten_mono,all the moms didn't allow eyeliner,not > all,2729.174,316.7279467,150.7212781,eyeliner
subj9_shorten_mono,all the moms didn't allow eyeliner,all > not,2382.358,316.7377961,153.3564046,eyeliner
subj11_shorten_mono,all the magnolias won't bloom,not > all,1646.858,138.6341167,113.8359361,magnolia
subj11_shorten_mono,all the magnolias won't bloom,all > not,2084.519,147.5042863,116.2768352,magnolia
subj11_shorten_mono,Liam doesn't know many alumni,most/many > not,1542.816,130.8187314,109.4833694,alumnus
subj11_shorten_mono,Liam doesn't know many alumni,not > most/many,2088.348,134.1012399,110.8402689,alumnus
subj11_shorten_mono,all the woollining wasn't worn,all > not,1941.192,142.3482414,119.1910068,wool
subj11_shorten_mono,all the woollining wasn't worn,not > all,1886.706,135.7875409,117.4741707,wool
subj11_shorten_mono,Neil doens't enjoy most musicals,most/many > not,2087.487,145.1230784,110.1625985,musical 
subj11_shorten_mono,Neil doesn't enjoy most musicals,not > most/many,2787.149,142.0710706,125.0280784,musical 
subj11_shorten_mono,all the moms didn't allow yeliner,not > all,1889.271,144.0410701,93.84237246,eyeliner
subj11_shorten_mono,all the moms didn't allow eyeliner,all > not,2973.6,158.0280925,116.6948699,eyeliner
subj12_shorten_mono,all the magnolias won't bloom,not > all,1890.156,229.9310202,185.2204345,magnolia
subj12_shorten_mono,all the magnolias won't bloom,all > not,1778.585,282.2154207,184.3934381,magnolia
subj12_shorten_mono,Liam doesn't know many alumni,most/many > not,1927.347,337.2668409,203.8803084,alumnus
subj12_shorten_mono,Liam doesn't know many alumni,not > most/many,1586.069,252.1726238,221.8283574,alumnus
subj12_shorten_mono,all the woollining wasn't worn,all > not,1625.447,241.7689981,201.2695488,wool
subj12_shorten_mono,all the woollining wasn't worn,not > all,2362.702,288.9028548,229.6672673,wool
subj12_shorten_mono,Neil doesn't enjoy most musicals,most/many > not,2817.733,251.3711484,198.4081144,musical 
subj12_shorten_mono,Neil doesn't enjoy most musicals,not > most/many,2349.57,230.3616168,198.1018483,musical 
subj12_shorten_mono,all the moms didn't allow eyeliner,not > all,2197.574,236.3121175,185.5200242,eyeliner
subj12_shorten_mono,all the moms didn't allow eyeliner,all > not,2288.314,210.3630396,172.6055733,eyeliner
subj13_shorten_mono,all the magnolias won't bloom,not > all,1210.776,385.4834043,235.1796082,magnolia
subj13_shorten_mono,all the magnolias won't bloom,all > not,1378.38,255.7188662,207.7464833,magnolia
subj13_shorten_mono,Liam doesn't know many alumni,most/many > not,1533.124,299.6217297,210.1486953,alumnus
subj13_shorten_mono,Liam doesn't know many alumni,not > most/many,1402.939,412.559538,233.225231,alumnus
subj13_shorten_mono,all the woollining wasn't worn,all > not,1721.634,413.2358562,287.7685447,wool
subj13_shorten_mono,all the woollining wasn't worn,not > all,1593.905,330.2119486,224.2871637,wool
subj13_shorten_mono,Neil doesn't enjoymost musicals,most/many > not,1678.728,292.6951114,218.1589448,musical 
subj13_shorten_mono,Neil doesn't enjoymost musicals,not > most/many,1625.699,423.3117472,241.2165434,musical 
subj13_shorten_mono,all the moms didn't allow eyeliner,not > all,1619.731,274.9752707,223.7545654,eyeliner
subj13_shorten_mono,all the moms didn't allow eyeliner,all > not,1517.827,273.8802287,211.3915931,eyeliner
subj14_shorten_mono,all the magnolias won't bloom,not > all,6259.863,197.2890738,152.5999331,magnolia
subj14_shorten_mono,all the magnolias won't bloom,all > not,1871.526,180.493114,151.7759657,magnolia
subj14_shorten_mono,Liam doesn't know any alumni,most/many > not,1703.486,310.1532317,181.6915428,alumnus
subj14_shorten_mono,Liam doesn't know many alumni,not > most/many,1710.626,314.4116465,195.7021565,alumnus
subj14_shorten_mono,all the woollining wasn't worn,all > not,2388.101,327.0824842,194.2892329,wool
subj14_shorten_mono,all the woollining wasn't worn,not > all,1824.949,261.8175646,171.1675347,wool
subj14_shorten_mono,Neil doesn't enjoy most musicals,most/many > not,2210.264,216.2624488,170.3647807,musical 
subj14_shorten_mono,Neil doesn't enjoy most musicals,not > most/many,1778.373,277.9874323,188.5104147,musical 
subj14_shorten_mono,all the moms didn't allow eyeliner,not > all,1956.21,220.3216265,162.5551677,eyeliner
subj14_shorten_mono,all the moms didn't allow eyeliner,all > not,2007.021,210.3307656,164.2083857,eyeliner
subj15_shorten_mono,all the magnolias won't bloom,not > all,2106.498,331.7208401,110.4418296,magnolia
subj15_shorten_mono,all the magnolias won't bloom,all > not,1877.172,152.9675049,109.1527834,magnolia
subj15_shorten_mono,Liam doesn't know many alumni,most/many > not,1879.524,154.7940553,115.0755241,alumnus
subj15_shorten_mono,Liam doesn't know many alumni,not > most/many,1806.601,188.8305854,121.7512993,alumnus
subj15_shorten_mono,all the woollining wasn't worn,all > not,2180.624,335.6046795,129.7358542,wool
subj15_shorten_mono,all the woollining wasn't worn,not > all,2013.603,177.0715465,108.4145932,wool
subj15_shorten_mono,Neil doesn't enjoy musicals,most/many > not,1856,161.224249,129.319329,musical 
subj15_shorten_mono,Neil doesn't enjoy most musicals,not > most/many,2211.213,191.9136375,112.1918705,musical 
subj15_shorten_mono,all the moms didn't allow eyeliner,not > all,2954.57,159.956586,113.9638526,eyeliner
subj15_shorten_mono,all the moms didn't allow eyeliner,all > not,2653.27,298.8486514,127.251628,eyeliner
subj16_shorten_mono,all the magnolias won't bloom,not > all,1642.309,331.873942,224.6229195,magnolia
subj16_shorten_mono,all the magnolias won't bloom,all > not,1727.562,277.5939006,237.8473327,magnolia
subj16_shorten_mono,Liam doesn't know many alumni,most/many > not,1933.317,416.6038609,230.7283461,alumnus
subj16_shorten_mono,Liam doesn't know many alumni,not > most/many,1994.789,397.3605225,274.7817698,alumnus
subj16_shorten_mono,all the woolling wasn't worn,all > not,1833.426,324.677251,255.6359556,wool
subj16_shorten_mono,all the woollining wasn't worn,not > all,1662.341,399.1837947,218.5185997,wool
subj16_shorten_mono,Neil doesn't enjoy most musicals,most/many > not,2043.701,307.8797075,223.6233674,musical 
subj16_shorten_mono,Neil doesn't enjoy most musicals,not > most/many,2252.308,358.1659043,265.9395644,musical 
subj16_shorten_mono,all the moms didn't allow eyeliner,not > all,1994.809,318.1116026,225.9536301,eyeliner
subj16_shorten_mono,all the moms didn't allow eyeliner,all > not,1877.467,323.0101938,211.0810133,eyeliner
subj17_shorten_mono,all the magnolias won't bloom,not > all,1477.875,212.1173222,118.3748407,magnolia
subj17_shorten_mono,all the magnolias won't bloom,all > not,1549.134,241.4211618,123.5810071,magnolia
subj17_shorten_mono,Liam doesn't know many alumni,most/many > not,1676.752,232.4913423,115.3646436,alumnus
subj17_shorten_mono,Liam doesn't know many alumni,not > most/many,1857.412,152.0454889,110.6106049,alumnus
subj17_shorten_mono,all the woollining wasn't worn,all > not,1809.424,189.2515073,119.8892624,wool
subj17_shorten_mono,all the woollining wasn't worn,not > all,1730.385,168.689678,103.9459975,wool
subj17_shorten_mono,Neil doesn't enjoy most musicals,most/many > not,2139.693,159.6725167,115.0381313,musical 
subj17_shorten_mono,Neil doesn't enjoy most musicals,not > most/many,1964.679,255.0787465,127.2270948,musical 
subj17_shorten_mono,all the moms didn't allow eyeliner,not > all,2696.904,220.7336817,114.9699448,eyeliner
subj17_shorten_mono,all the moms didn't allow eyeliner,all > not,2856.688,229.8946302,106.4168993,eyeliner
subj18_shorten_mono,all the mom didn't allow eyeliner,all > not,1731.615,231.4102322,180.8455669,eyeliner
subj18_shorten_mono,all the mom didn't allow eyeliner,not > all,1639.114,260.8023239,196.1655753,eyeliner
subj18_shorten_mono,Neil didn't enjoy most musicals,not > most/many,2032.426,393.5466613,208.6480763,musical 
subj18_shorten_mono,Neil doesn't enjoy most musicals,most/many > not,1622.177,331.0924955,231.6096517,musical 
subj18_shorten_mono,all the woollining wasn't worn,not > all,1493.9,256.7553394,205.0098374,wool
subj18_shorten_mono,all the woollining wasn't worn,all > not,1603.07,288.8676828,227.684769,wool
subj18_shorten_mono,Neil doesn't know many alumni,not > most/many,1853.011,296.1818734,201.9403273,alumnus
subj18_shorten_mono,Neil doesn't know many alumni,most/many > not,1506.701,289.4053143,217.7161915,alumnus
subj18_shorten_mono,all the magnolias won't bloom,not > all,1551.358,267.9945565,206.3180472,magnolia
subj18_shorten_mono,all the magnolias won't bloom,all > not,1623.18,321.1358948,212.1861608,magnolia
subj19_shorten_mono,all the moms didn't allow eyeliner,all > not,2201.995,340.5075507,134.2174599,eyeliner
subj19_shorten_mono,all the moms didn't allow eyeliner,not > all,1813.215,199.534767,115.0703296,eyeliner
subj19_shorten_mono,Neil doesn't enjoy most musicals,not > most/many,2092.571,234.659729,123.6924053,musical 
subj19_shorten_mono,Neil doesn't enjoy most musicals,most/many > not,2020.288,167.2693856,116.1603321,musical 
subj19_shorten_mono,all the woollining wasn't worn,not > all,1669.977,210.1942195,122.0218575,wool
subj19_shorten_mono,all the woollining wasn't worn,all > not,1779.914,156.3616949,119.9976525,wool
subj19_shorten_mono,Liam doesn't know many alumni,not > most/many,1535.611,156.1277429,111.5354624,alumnus
subj19_shorten_mono,Liam doesn't know many alumni,most/many > not,1681.539,206.1952122,145.3335444,alumnus
subj19_shorten_mono,all the magnolias won't bloom,not > all,1908.834,327.5659136,121.545544,magnolia
subj19_shorten_mono,all the magnolias won't bloom,all > not,1867.963,221.0580356,136.7218216,magnolia
subj21_shorten_mono,all the moms didn't allow eyeliner,all > not,2347.219,384.7301165,133.9584634,eyeliner
subj21_shorten_mono,all of the moms didn't allow eyeliner,not > all,2139.435,254.6014516,123.7692486,eyeliner
subj21_shorten_mono,Neil doesn't enjoy most musicals,not > most/many,2950.39,166.641656,127.3435842,musical 
subj21_shorten_mono,Neil doesn't enjoy most musicals,most/many > not,1866.697,156.5778978,121.6320856,musical 
subj21_shorten_mono,all the woollining wasn't worn,not > all,3084.24,345.8060197,121.4653293,wool
subj21_shorten_mono,all the woollining wasn't worn,all > not,2088.553,329.0352113,126.3143712,wool
subj21_shorten_mono,Liam doesn't know many alumni,not > most/many,2854.195,359.4019599,134.1307066,alumnus
subj21_shorten_mono,Liam doesn't know many alumni,most/many > not,1691.195,151.473972,116.9557185,alumnus
subj21_shorten_mono,all the magnolias won't bloom,not > all,2132.166,395.2505499,121.0504349,magnolia
subj21_shorten_mono,all the magnolias won't bloom,all > not,1870.491,244.1795248,127.5409104,magnolia
subj22_shorten_mono,all the moms didn't allow eyeliner,all > not,2397.98,195.3147356,156.5248549,eyeliner
subj22_shorten_mono,all the moms didn't allow eyeliner,not > all,2032.191,182.3506592,130.4557278,eyeliner
subj22_shorten_mono,Neil doesn't enjoy most musicals,not > most/many,2284.033,232.3906731,166.3475804,musical 
subj22_shorten_mono,Neil doesn't enjoy most musicals,most/many > not,2367.084,314.252344,162.5671646,musical 
subj22_shorten_mono,all the woolling wasn't worn,not > all,2048.892,225.5868504,165.5392764,wool
subj22_shorten_mono,all the woolling wasn't worn,all > not,2004.31,201.4637494,158.5237471,wool
subj22_shorten_mono,Liam doesn't know many alumni,not > most/many,2194.117,227.1861849,166.7628545,alumnus
subj22_shorten_mono,Liam doesn't know many alumni,most/many > not,2121.957,225.8223609,148.4960007,alumnus
subj22_shorten_mono,all the magnolias won't bloom,not > all,1934.746,210.4890905,170.439026,magnolia
subj22_shorten_mono,all the magnolias won't bloom,all > not,1974.841,223.7539156,166.9451485,magnolia
subj23_shorten_mono,all the moms didn't allow eyeliner,all > not,1906.811,249.9246472,184.8300286,eyeliner
subj23_shorten_mono,all the moms didn't allow eyeliner,not > all,1909.281,305.8357629,191.5753209,eyeliner
subj23_shorten_mono,Neil doesn't enjoy most musicals,not > most/many,1995.741,278.5898487,219.6710313,musical 
subj23_shorten_mono,Neil doesn't enjoy most musicals,most/many > not,2054.641,233.4078615,191.9708494,musical 
subj23_shorten_mono,all the woollining wasn't worn,not > all,1646.121,271.4914294,214.2629649,wool
subj23_shorten_mono,all the woollining wasn't worn,all > not,1642.536,269.2833018,203.1791148,wool
subj23_shorten_mono,Liam doesn't know many alumni,not > most/many,1656.366,312.804861,211.6077257,alumnus
subj23_shorten_mono,Liam doesn't know many alumni,most/many > not,1675.982,257.7348082,215.417752,alumnus
subj23_shorten_mono,all the magnolias won't bloom,not > all,1586.623,231.8747936,192.6965148,magnolia
subj23_shorten_mono,all the magnolias won't bloom,all > not,1489.199,288.3406362,215.8688933,magnolia
subj24_shorten_mono,all the moms didn't allow eyeliner,all > not,2013.946,324.770585,211.8531754,eyeliner
subj24_shorten_mono,all the moms didn't allow eyeliner,not > all,2195.156,351.2010039,253.3123201,eyeliner
subj24_shorten_mono,Neil doesn't enjoy most musicals,not > most/many,2541.157,409.8239987,244.6775865,musical 
subj24_shorten_mono,Neil doesn't enjoy most musicals,most/many > not,2099.901,370.7877391,238.2902913,musical 
subj24_shorten_mono,all the woollining wasn't worn,not > all,2039.267,370.1210963,249.1388631,wool
subj24_shorten_mono,all the woollining wasn't worn,all > not,1847.513,422.8315428,243.3200173,wool
subj24_shorten_mono,Liam doesn't know many alumni,not > most/many,1996.842,410.2713149,223.0370983,alumnus
subj24_shorten_mono,Liam doesn't know many alumni,most/many > not,1969.796,409.3913279,241.3373738,alumnus
subj24_shorten_mono,all the magnolias won't bloom,not > all,1622.892,354.6886102,252.4071768,magnolia
subj24_shorten_mono,all the magnolias won't bloom,all > not,1812.444,420.1256188,209.8504242,magnolia
subj25_shorten_mono,all the moms didn't allow eyeliner,all > not,2274.635,217.5051421,140.6507576,eyeliner
subj25_shorten_mono,all the moms didn't allow eyeliner,not > all,2026.406,259.9946788,118.0303401,eyeliner
subj25_shorten_mono,Neil doesn't enjoy most musicals,not > most/many,2374.874,217.1734844,151.4654348,musical 
subj25_shorten_mono,Neil doesn't enjoy most musicals,most/many > not,2232.676,183.0040903,137.2532812,musical 
subj25_shorten_mono,all the woollining wasn't worn,not > all,1931.883,215.301495,148.5304756,wool
subj25_shorten_mono,all the woollining wasn't worn,all > not,2105.528,267.2080419,174.0955833,wool
subj25_shorten_mono,Liam doesn't know many alumni,not > most/many,2211.58,208.2056285,128.3375958,alumnus
subj25_shorten_mono,Liam doesn't know many alumni,most/many > not,1800.621,155.8684165,121.4702384,alumnus
subj25_shorten_mono,all the magnolias won't bloom,not > all,1988.823,207.3400174,131.6019699,magnolia
subj25_shorten_mono,all the magnolias won't bloom,all > not,1808.273,214.7633345,118.2445352,magnolia
subj26_shorten_mono,all the moms didn't allow eyeliner,all > not,2537.489,396.3056275,257.7409345,eyeliner
subj26_shorten_mono,all the moms didn't allow eyeliner,not > all,2418.93,380.2356233,182.9765403,eyeliner
subj26_shorten_mono,Neil doesn't enjoy most musicals,not > most/many,2576.531,344.738315,223.6403084,musical 
subj26_shorten_mono,Neil doens't enjoy most musicals,most/many > not,2665.118,338.9962115,226.0410542,musical 
subj26_shorten_mono,all the woollining wasn't worn,not > all,2363.026,322.8004876,213.5751418,wool
subj26_shorten_mono,all the woollining wasn'tworn,all > not,2109.348,418.4338423,222.656602,wool
subj26_shorten_mono,Liam doesn't know many alumni,not > most/many,2083.444,322.6988301,203.0232189,alumnus
subj26_shorten_mono,Liam doesn't know many alumni,most/many > not,1998.896,269.4954612,204.6304881,alumnus
subj26_shorten_mono,all the magnolias won't bloom,not > all,2115.473,334.8881617,230.125617,magnolia
subj26_shorten_mono,all the magnolias won't bloom,all > not,2204.836,409.1981236,203.2674633,magnolia
subj27_shorten_mono,all the moms didn't allow eyeliner,all > not,1950.889,258.0130665,194.6144144,eyeliner
subj27_shorten_mono,all the moms didn't allow eyeliner,not > all,2011.816,237.4491172,190.6395271,eyeliner
subj27_shorten_mono,Neil doesn't enjoy most musicals,not > most/many,2258.032,264.2846498,213.7822019,musical 
subj27_shorten_mono,Neil doesn't enjoy most musicals,most/many > not,2262.631,230.1917393,189.3475072,musical 
subj27_shorten_mono,all the woollining wasn't worn,not > all,1837.71,253.388676,199.7609117,wool
subj27_shorten_mono,all the woolling wasn't worn,all > not,1801.194,396.143232,217.8054382,wool
subj27_shorten_mono,Liam doens't know many alumni,not > most/many,1841.933,257.2888423,197.291715,alumnus
subj27_shorten_mono,Liam doesn't know many alumni,most/many > not,1787.963,233.2017543,184.8648789,alumnus
subj27_shorten_mono,all the magnolias won't bloom,not > all,1755.313,259.0666996,206.620055,magnolia
subj27_shorten_mono,all the magnolias won't bloom,all > not,1668.668,249.0150248,199.4697788,magnolia
subj28_shorten_mono,all the moms didn't allow eyeliner,all > not,1839.722,232.1674244,130.1290113,eyeliner
subj28_shorten_mono,all the moms didn't allow eyeliner,not > all,1652.166,236.2847335,158.2572325,eyeliner
subj28_shorten_mono,Neil doesn't enjoy most musicals,not > most/many,2000.647,225.170304,165.9526585,musical 
subj28_shorten_mono,Neild oens't enjoy most musicals,most/many > not,1850.507,241.0285474,189.4659431,musical 
subj28_shorten_mono,all the woollining wasn't worn,not > all,1536.184,235.370802,166.7601909,wool
subj28_shorten_mono,all the woollining wasn't worn,all > not,1526.63,282.2701668,182.825059,wool
subj28_shorten_mono,Liam doesn't know many alumni,not > most/many,1708.59,263.3681028,166.1962188,alumnus
subj28_shorten_mono,Liam doesn't know many alumni,most/many > not,1564.019,277.385307,157.0646247,alumnus
subj28_shorten_mono,all the magnolias won't bloom,not > all,1630.148,354.8930429,137.6864705,magnolia
subj28_shorten_mono,all the magnolias won't bloom,all > not,1428.72,321.2245473,165.8552948,magnolia
