subject,sentence,context,sentence_length,maxF0,meanF0,keyword,last_word_len
subj2_shorten_mono,all the moms didn't allow eyeliner,all > not,2193.405,238.5270341,152.8767852,eyeliner,624.802
subj3_shorten_mono,all the magnolias won't bloom,not > all,1808.047,199.709759,111.4512816,magnolia,499.643
subj3_shorten_mono,all the magnolias won't bloom,all > not,2345.964,167.1202817,103.4476851,magnolia,445.401
subj3_shorten_mono,Liam doesn't know many alumni,most/many > not,1999.976,164.2550583,110.1439263,alumnus,557.519
subj3_shorten_mono,Liam doesn't know many alumni,not > most/many,2107.963,181.2314237,133.6102191,alumnus,637.369
subj3_shorten_mono,all the woollining wasn't worn,all > not,2050.809,163.920167,119.7493183,wool,444.772
subj3_shorten_mono,all the woollining wasn't worn,not > all,2204.673,210.8716592,111.3451581,wool,543.835
subj3_shorten_mono,Neil doesn't enjoy most musicals,most/many > not,3050.973,257.0855346,178.5669311,musical ,1152.26
subj3_shorten_mono,Neil doesn't enjoy most musicals,not > most/many,2457.324,220.3727435,127.8337254,musical ,780.972
subj3_shorten_mono,all the moms didn't allow blank eyeliner,not > all,2598.048,237.4741195,112.8178799,eyeliner,644.203
subj3_shorten_mono,all the moms didn't allow eyeliner,all > not,2415.847,166.3375648,117.0769099,eyeliner,557.113
subj4_shorten_mono,all the magnolias won't bloom,not > all,1904.17,189.103663,121.9619626,magnolia,410.64
subj4_shorten_mono,all the magnolias won't bloom,all > not,1687.149,137.2651674,111.4051603,magnolia,402.971
subj4_shorten_mono,Liam doesn't know many alumni,most/many > not,2121.536,218.1248979,126.7585092,alumnus,669.414
subj4_shorten_mono,Liam doesn't know many alumni,not > most/many,1722.521,201.8027541,136.2492703,alumnus,571.942
subj4_shorten_mono,all the woollining wasn't worn,all > not,1911.802,190.0074904,122.4046272,wool,492.944
subj4_shorten_mono,all the woolling wasn't worn,not > all,1824.244,180.2979191,121.9576445,wool,239.034
subj4_shorten_mono,Neil doesn't enjoy most musicals,most/many > not,2169.13,192.5679381,139.0736048,musical ,792.925
subj4_shorten_mono,Neil doesn't enjoy most musicals,not > most/many,2169.942,186.5733431,134.0983898,musical ,828.984
subj4_shorten_mono,all the moms didn't allow eyeliner,not > all,2203.779,155.7207073,108.7443508,eyeliner,816.283
subj4_shorten_mono,all the moms didn't allow eyeliner,all > not,2294.767,179.813621,117.5315529,eyeliner,681.572
subj5_shorten_mono,all of the magnolias won't bloom,not > all,1987.817,295.2082904,213.0882736,magnolia,352.792
subj5_shorten_mono,all the magnolias won't bloom,all > not,1468.496,365.3565958,226.4181773,magnolia,309.138
subj5_shorten_mono,Liam doesn't know many alumni,most/many > not,1748.658,341.9343549,220.9702692,alumnus,606.384
subj5_shorten_mono,Liam doesn't know many alumni,not > most/many,1969.772,395.2522983,258.8773267,alumnus,802.386
subj5_shorten_mono,all the woolining wasn't worn,all > not,1734.128,303.582522,225.6283847,wool,352.46
subj5_shorten_mono,all the woolling wasn't worn,not > all,1807.74,358.7333586,230.8644963,wool,374.35
subj5_shorten_mono,Neil doesn't enjoy most musicals,most/many > not,1921.044,356.2882759,243.1464912,musical ,671.671
subj5_shorten_mono,Neil doesn't enjoy most musicals,not > most/many,2238.158,350.1247174,249.6947183,musical ,775.363
subj5_shorten_mono,all the moms didn't allow eyeliner,not > all,2104.84,314.753614,210.1704632,eyeliner,562.848
subj5_shorten_mono,all the moms didn't allow eyeliner,all > not,1785.738,275.1737458,212.1276469,eyeliner,636.003
subj6_shorten_mono,all the magnolias won't bloom,not > all,1496.998,200.7698086,116.6544915,magnolia,279.638
subj6_shorten_mono,all the magnolias won't bloom,all > not,1633.777,335.6563277,158.9015277,magnolia,287.159
subj6_shorten_mono,Liam doesn't know many alumnis,most/many > not,1652.405,303.8329962,222.9207182,alumnus,598.914
subj6_shorten_mono,Liam doesn't know many alumni,not > most/many,1782.123,270.6868416,178.4226157,alumnus,660.637
subj6_shorten_mono,all the woollining wasn't worn,all > not,1766.578,212.006249,136.3350747,wool,302.798
subj6_shorten_mono,all the woollining wasn't worn,not > all,1524.521,197.5564468,124.2183078,wool,406.269
subj6_shorten_mono,Neil doesn't enjoy most musicals,most/many > not,2072.973,260.1835252,169.4991437,musical ,867.49
subj6_shorten_mono,Neil doesn't enjoy most musicals,not > most/many,2047.627,202.5285839,164.1857392,musical ,777.473
subj6_shorten_mono,all the moms didn't allow eyeliner,not > all,1754.942,335.5321338,201.1494849,eyeliner,574.314
subj6_shorten_mono,all the moms didn't allow eyeliner,all > not,2044.452,327.1105128,145.9341171,eyeliner,585.311
subj7_shorten_mono,all the magnolias won't bloom,not > all,1581.772,248.9463189,185.426057,magnolia,244.474
subj7_shorten_mono,all the magnolias won't bloom,all > not,1664.256,267.7214808,216.7024667,magnolia,330.975
subj7_shorten_mono,Liam doesn't know many alumni,most/many > not,1714.471,272.4163821,218.2868821,alumnus,583.146
subj7_shorten_mono,Liam doesn't know many alumni,not > most/many,1601.906,335.5865181,202.4281225,alumnus,500.385
subj7_shorten_mono,all the woollining wasn't worn,all > not,1788.965,379.6057373,260.8234256,wool,433.08
subj7_shorten_mono,all the woollining wasn't worn,not > all,1665.957,289.0011671,198.5129146,wool,452.92
subj7_shorten_mono,Neil doesn't enjoy most musicals,most/many > not,1786.364,281.9863977,202.675057,musical ,678.264
subj7_shorten_mono,Neil doesn't enjoy most musicals,not > most/many,1843.355,250.9770065,194.4589078,musical ,704.377
subj7_shorten_mono,all the moms didn't allow eyeliner,not > all,1836.848,401.840051,191.8571708,eyeliner,605.509
subj7_shorten_mono,all the moms didn't allow eyeliner,all > not,2194.177,271.6213426,188.56768,eyeliner,641.322
subj9_shorten_mono,all the magnolias won't bloom,not > all,2642.67,200.0670871,147.649145,magnolia,527.981
subj9_shorten_mono,all the magnolias won't bloom,all > not,2602.624,210.1933793,158.2946641,magnolia,520.86
subj9_shorten_mono,Liam doesn't know many alumni,most/many > not,2240.763,318.7462945,170.3768862,alumnus,627.856
subj9_shorten_mono,Liam doesn't know many alumni,not > most/many,2129.343,268.1889324,145.5030356,alumnus,571.282
subj9_shorten_mono,all the woollining wasn't worn,all > not,2700.081,177.9364884,142.7180028,wool,447.666
subj9_shorten_mono,all the woollining wasn't worn,not > all,2165.054,315.5704405,151.6585212,wool,523.577
subj9_shorten_mono,Neil doesn't enjoy most musicals,most/many > not,3018.719,248.8112943,149.9759631,musical ,954.099
subj9_shorten_mono,Neil doesn't enjoy most musicals,not > most/many,2549.101,206.6020061,154.0312551,musical ,747.44
subj9_shorten_mono,all the moms didn't allow eyeliner,not > all,2729.174,316.7279467,150.7212781,eyeliner,704.936
subj9_shorten_mono,all the moms didn't allow eyeliner,all > not,2382.358,316.7377961,153.3564046,eyeliner,701.15
subj11_shorten_mono,all the magnolias won't bloom,not > all,1646.858,138.6341167,113.8359361,magnolia,328.743
subj11_shorten_mono,all the magnolias won't bloom,all > not,2084.519,147.5042863,116.2768352,magnolia,404.922
subj11_shorten_mono,Liam doesn't know many alumni,most/many > not,1542.816,130.8187314,109.4833694,alumnus,485.379
subj11_shorten_mono,Liam doesn't know many alumni,not > most/many,2088.348,134.1012399,110.8402689,alumnus,559.899
subj11_shorten_mono,all the woollining wasn't worn,all > not,1941.192,142.3482414,119.1910068,wool,468.714
subj11_shorten_mono,all the woollining wasn't worn,not > all,1886.706,135.7875409,117.4741707,wool,358.066
subj11_shorten_mono,Neil doens't enjoy most musicals,most/many > not,2087.487,145.1230784,110.1625985,musical ,755.629
subj11_shorten_mono,Neil doesn't enjoy most musicals,not > most/many,2787.149,142.0710706,125.0280784,musical ,832.79
subj11_shorten_mono,all the moms didn't allow yeliner,not > all,1889.271,144.0410701,93.84237246,eyeliner,412.336
subj11_shorten_mono,all the moms didn't allow eyeliner,all > not,2973.6,158.0280925,116.6948699,eyeliner,634.433
subj12_shorten_mono,all the magnolias won't bloom,not > all,1890.156,229.9310202,185.2204345,magnolia,428.463
subj12_shorten_mono,all the magnolias won't bloom,all > not,1778.585,282.2154207,184.3934381,magnolia,409.348
subj12_shorten_mono,Liam doesn't know many alumni,most/many > not,1927.347,337.2668409,203.8803084,alumnus,680.369
subj12_shorten_mono,Liam doesn't know many alumni,not > most/many,1586.069,252.1726238,221.8283574,alumnus,590.839
subj12_shorten_mono,all the woollining wasn't worn,all > not,1625.447,241.7689981,201.2695488,wool,408.684
subj12_shorten_mono,all the woollining wasn't worn,not > all,2362.702,288.9028548,229.6672673,wool,434.926
subj12_shorten_mono,Neil doesn't enjoy most musicals,most/many > not,2817.733,251.3711484,198.4081144,musical ,1022.75
subj12_shorten_mono,Neil doesn't enjoy most musicals,not > most/many,2349.57,230.3616168,198.1018483,musical ,864.598
subj12_shorten_mono,all the moms didn't allow eyeliner,not > all,2197.574,236.3121175,185.5200242,eyeliner,740.578
subj12_shorten_mono,all the moms didn't allow eyeliner,all > not,2288.314,210.3630396,172.6055733,eyeliner,673.806
subj13_shorten_mono,all the magnolias won't bloom,not > all,1210.776,385.4834043,235.1796082,magnolia,321.016
subj13_shorten_mono,all the magnolias won't bloom,all > not,1378.38,255.7188662,207.7464833,magnolia,325.371
subj13_shorten_mono,Liam doesn't know many alumni,most/many > not,1533.124,299.6217297,210.1486953,alumnus,504.056
subj13_shorten_mono,Liam doesn't know many alumni,not > most/many,1402.939,412.559538,233.225231,alumnus,543.454
subj13_shorten_mono,all the woollining wasn't worn,all > not,1721.634,413.2358562,287.7685447,wool,506.836
subj13_shorten_mono,all the woollining wasn't worn,not > all,1593.905,330.2119486,224.2871637,wool,476.968
subj13_shorten_mono,Neil doesn't enjoymost musicals,most/many > not,1678.728,292.6951114,218.1589448,musical ,654.076
subj13_shorten_mono,Neil doesn't enjoymost musicals,not > most/many,1625.699,423.3117472,241.2165434,musical ,658.96
subj13_shorten_mono,all the moms didn't allow eyeliner,not > all,1619.731,274.9752707,223.7545654,eyeliner,533.653
subj13_shorten_mono,all the moms didn't allow eyeliner,all > not,1517.827,273.8802287,211.3915931,eyeliner,576.56
subj14_shorten_mono,all the magnolias won't bloom,not > all,6259.863,197.2890738,152.5999331,magnolia,401.73
subj14_shorten_mono,all the magnolias won't bloom,all > not,1871.526,180.493114,151.7759657,magnolia,514.192
subj14_shorten_mono,Liam doesn't know any alumni,most/many > not,1703.486,310.1532317,181.6915428,alumnus,597.669
subj14_shorten_mono,Liam doesn't know many alumni,not > most/many,1710.626,314.4116465,195.7021565,alumnus,772.745
subj14_shorten_mono,all the woollining wasn't worn,all > not,2388.101,327.0824842,194.2892329,wool,621.677
subj14_shorten_mono,all the woollining wasn't worn,not > all,1824.949,261.8175646,171.1675347,wool,587.966
subj14_shorten_mono,Neil doesn't enjoy most musicals,most/many > not,2210.264,216.2624488,170.3647807,musical ,796.005
subj14_shorten_mono,Neil doesn't enjoy most musicals,not > most/many,1778.373,277.9874323,188.5104147,musical ,655.246
subj14_shorten_mono,all the moms didn't allow eyeliner,not > all,1956.21,220.3216265,162.5551677,eyeliner,708.671
subj14_shorten_mono,all the moms didn't allow eyeliner,all > not,2007.021,210.3307656,164.2083857,eyeliner,686.468
subj15_shorten_mono,all the magnolias won't bloom,not > all,2106.498,331.7208401,110.4418296,magnolia,384.127
subj15_shorten_mono,all the magnolias won't bloom,all > not,1877.172,152.9675049,109.1527834,magnolia,359.129
subj15_shorten_mono,Liam doesn't know many alumni,most/many > not,1879.524,154.7940553,115.0755241,alumnus,746.309
subj15_shorten_mono,Liam doesn't know many alumni,not > most/many,1806.601,188.8305854,121.7512993,alumnus,582.307
subj15_shorten_mono,all the woollining wasn't worn,all > not,2180.624,335.6046795,129.7358542,wool,528.637
subj15_shorten_mono,all the woollining wasn't worn,not > all,2013.603,177.0715465,108.4145932,wool,351.558
subj15_shorten_mono,Neil doesn't enjoy musicals,most/many > not,1856,161.224249,129.319329,musical ,829.149
subj15_shorten_mono,Neil doesn't enjoy most musicals,not > most/many,2211.213,191.9136375,112.1918705,musical ,466.89
subj15_shorten_mono,all the moms didn't allow eyeliner,not > all,2954.57,159.956586,113.9638526,eyeliner,612.75
subj15_shorten_mono,all the moms didn't allow eyeliner,all > not,2653.27,298.8486514,127.251628,eyeliner,550.974
subj16_shorten_mono,all the magnolias won't bloom,not > all,1642.309,331.873942,224.6229195,magnolia,432.043
subj16_shorten_mono,all the magnolias won't bloom,all > not,1727.562,277.5939006,237.8473327,magnolia,493.052
subj16_shorten_mono,Liam doesn't know many alumni,most/many > not,1933.317,416.6038609,230.7283461,alumnus,642.464
subj16_shorten_mono,Liam doesn't know many alumni,not > most/many,1994.789,397.3605225,274.7817698,alumnus,651.129
subj16_shorten_mono,all the woolling wasn't worn,all > not,1833.426,324.677251,255.6359556,wool,635.33
subj16_shorten_mono,all the woollining wasn't worn,not > all,1662.341,399.1837947,218.5185997,wool,452.234
subj16_shorten_mono,Neil doesn't enjoy most musicals,most/many > not,2043.701,307.8797075,223.6233674,musical ,840.245
subj16_shorten_mono,Neil doesn't enjoy most musicals,not > most/many,2252.308,358.1659043,265.9395644,musical ,811.613
subj16_shorten_mono,all the moms didn't allow eyeliner,not > all,1994.809,318.1116026,225.9536301,eyeliner,655.846
subj16_shorten_mono,all the moms didn't allow eyeliner,all > not,1877.467,323.0101938,211.0810133,eyeliner,690.151
subj17_shorten_mono,all the magnolias won't bloom,not > all,1477.875,212.1173222,118.3748407,magnolia,377.352
subj17_shorten_mono,all the magnolias won't bloom,all > not,1549.134,241.4211618,123.5810071,magnolia,414.558
subj17_shorten_mono,Liam doesn't know many alumni,most/many > not,1676.752,232.4913423,115.3646436,alumnus,440.12
subj17_shorten_mono,Liam doesn't know many alumni,not > most/many,1857.412,152.0454889,110.6106049,alumnus,684.386
subj17_shorten_mono,all the woollining wasn't worn,all > not,1809.424,189.2515073,119.8892624,wool,494.717
subj17_shorten_mono,all the woollining wasn't worn,not > all,1730.385,168.689678,103.9459975,wool,330.607
subj17_shorten_mono,Neil doesn't enjoy most musicals,most/many > not,2139.693,159.6725167,115.0381313,musical ,753.9
subj17_shorten_mono,Neil doesn't enjoy most musicals,not > most/many,1964.679,255.0787465,127.2270948,musical ,781.54
subj17_shorten_mono,all the moms didn't allow eyeliner,not > all,2696.904,220.7336817,114.9699448,eyeliner,586.636
subj17_shorten_mono,all the moms didn't allow eyeliner,all > not,2856.688,229.8946302,106.4168993,eyeliner,810.369
subj18_shorten_mono,all the mom didn't allow eyeliner,all > not,1731.615,231.4102322,180.8455669,eyeliner,539.444
subj18_shorten_mono,all the mom didn't allow eyeliner,not > all,1639.114,260.8023239,196.1655753,eyeliner,506.767
subj18_shorten_mono,Neil didn't enjoy most musicals,not > most/many,2032.426,393.5466613,208.6480763,musical ,681.239
subj18_shorten_mono,Neil doesn't enjoy most musicals,most/many > not,1622.177,331.0924955,231.6096517,musical ,642.347
subj18_shorten_mono,all the woollining wasn't worn,not > all,1493.9,256.7553394,205.0098374,wool,394.587
subj18_shorten_mono,all the woollining wasn't worn,all > not,1603.07,288.8676828,227.684769,wool,456.085
subj18_shorten_mono,Neil doesn't know many alumni,not > most/many,1853.011,296.1818734,201.9403273,alumnus,660.764
subj18_shorten_mono,Neil doesn't know many alumni,most/many > not,1506.701,289.4053143,217.7161915,alumnus,563.599
subj18_shorten_mono,all the magnolias won't bloom,not > all,1551.358,267.9945565,206.3180472,magnolia,440.171
subj18_shorten_mono,all the magnolias won't bloom,all > not,1623.18,321.1358948,212.1861608,magnolia,461.255
subj19_shorten_mono,all the moms didn't allow eyeliner,all > not,2201.995,340.5075507,134.2174599,eyeliner,668.99
subj19_shorten_mono,all the moms didn't allow eyeliner,not > all,1813.215,199.534767,115.0703296,eyeliner,512.745
subj19_shorten_mono,Neil doesn't enjoy most musicals,not > most/many,2092.571,234.659729,123.6924053,musical ,861.15
subj19_shorten_mono,Neil doesn't enjoy most musicals,most/many > not,2020.288,167.2693856,116.1603321,musical ,557.938
subj19_shorten_mono,all the woollining wasn't worn,not > all,1669.977,210.1942195,122.0218575,wool,410.296
subj19_shorten_mono,all the woollining wasn't worn,all > not,1779.914,156.3616949,119.9976525,wool,415.095
subj19_shorten_mono,Liam doesn't know many alumni,not > most/many,1535.611,156.1277429,111.5354624,alumnus,603.667
subj19_shorten_mono,Liam doesn't know many alumni,most/many > not,1681.539,206.1952122,145.3335444,alumnus,491.725
subj19_shorten_mono,all the magnolias won't bloom,not > all,1908.834,327.5659136,121.545544,magnolia,350.096
subj19_shorten_mono,all the magnolias won't bloom,all > not,1867.963,221.0580356,136.7218216,magnolia,489.697
subj21_shorten_mono,all the moms didn't allow eyeliner,all > not,2347.219,384.7301165,133.9584634,eyeliner,679.873
subj21_shorten_mono,all of the moms didn't allow eyeliner,not > all,2139.435,254.6014516,123.7692486,eyeliner,603.306
subj21_shorten_mono,Neil doesn't enjoy most musicals,not > most/many,2950.39,166.641656,127.3435842,musical ,845.383
subj21_shorten_mono,Neil doesn't enjoy most musicals,most/many > not,1866.697,156.5778978,121.6320856,musical ,743.376
subj21_shorten_mono,all the woollining wasn't worn,not > all,3084.24,345.8060197,121.4653293,wool,512.498
subj21_shorten_mono,all the woollining wasn't worn,all > not,2088.553,329.0352113,126.3143712,wool,486.464
subj21_shorten_mono,Liam doesn't know many alumni,not > most/many,2854.195,359.4019599,134.1307066,alumnus,857.712
subj21_shorten_mono,Liam doesn't know many alumni,most/many > not,1691.195,151.473972,116.9557185,alumnus,550.672
subj21_shorten_mono,all the magnolias won't bloom,not > all,2132.166,395.2505499,121.0504349,magnolia,440.963
subj21_shorten_mono,all the magnolias won't bloom,all > not,1870.491,244.1795248,127.5409104,magnolia,420.873
subj22_shorten_mono,all the moms didn't allow eyeliner,all > not,2397.98,195.3147356,156.5248549,eyeliner,558.778
subj22_shorten_mono,all the moms didn't allow eyeliner,not > all,2032.191,182.3506592,130.4557278,eyeliner,564.074
subj22_shorten_mono,Neil doesn't enjoy most musicals,not > most/many,2284.033,232.3906731,166.3475804,musical ,834.028
subj22_shorten_mono,Neil doesn't enjoy most musicals,most/many > not,2367.084,314.252344,162.5671646,musical ,769.181
subj22_shorten_mono,all the woolling wasn't worn,not > all,2048.892,225.5868504,165.5392764,wool,547.793
subj22_shorten_mono,all the woolling wasn't worn,all > not,2004.31,201.4637494,158.5237471,wool,399.635
subj22_shorten_mono,Liam doesn't know many alumni,not > most/many,2194.117,227.1861849,166.7628545,alumnus,784.127
subj22_shorten_mono,Liam doesn't know many alumni,most/many > not,2121.957,225.8223609,148.4960007,alumnus,737.133
subj22_shorten_mono,all the magnolias won't bloom,not > all,1934.746,210.4890905,170.439026,magnolia,413.946
subj22_shorten_mono,all the magnolias won't bloom,all > not,1974.841,223.7539156,166.9451485,magnolia,306.079
subj23_shorten_mono,all the moms didn't allow eyeliner,all > not,1906.811,249.9246472,184.8300286,eyeliner,629.84
subj23_shorten_mono,all the moms didn't allow eyeliner,not > all,1909.281,305.8357629,191.5753209,eyeliner,533.512
subj23_shorten_mono,Neil doesn't enjoy most musicals,not > most/many,1995.741,278.5898487,219.6710313,musical ,733.579
subj23_shorten_mono,Neil doesn't enjoy most musicals,most/many > not,2054.641,233.4078615,191.9708494,musical ,654.969
subj23_shorten_mono,all the woollining wasn't worn,not > all,1646.121,271.4914294,214.2629649,wool,478.836
subj23_shorten_mono,all the woollining wasn't worn,all > not,1642.536,269.2833018,203.1791148,wool,480.579
subj23_shorten_mono,Liam doesn't know many alumni,not > most/many,1656.366,312.804861,211.6077257,alumnus,660.971
subj23_shorten_mono,Liam doesn't know many alumni,most/many > not,1675.982,257.7348082,215.417752,alumnus,616.677
subj23_shorten_mono,all the magnolias won't bloom,not > all,1586.623,231.8747936,192.6965148,magnolia,333.499
subj23_shorten_mono,all the magnolias won't bloom,all > not,1489.199,288.3406362,215.8688933,magnolia,403.174
subj24_shorten_mono,all the moms didn't allow eyeliner,all > not,2013.946,324.770585,211.8531754,eyeliner,500.004
subj24_shorten_mono,all the moms didn't allow eyeliner,not > all,2195.156,351.2010039,253.3123201,eyeliner,619.043
subj24_shorten_mono,Neil doesn't enjoy most musicals,not > most/many,2541.157,409.8239987,244.6775865,musical ,849.695
subj24_shorten_mono,Neil doesn't enjoy most musicals,most/many > not,2099.901,370.7877391,238.2902913,musical ,767.114
subj24_shorten_mono,all the woollining wasn't worn,not > all,2039.267,370.1210963,249.1388631,wool,509.8
subj24_shorten_mono,all the woollining wasn't worn,all > not,1847.513,422.8315428,243.3200173,wool,441.167
subj24_shorten_mono,Liam doesn't know many alumni,not > most/many,1996.842,410.2713149,223.0370983,alumnus,631.492
subj24_shorten_mono,Liam doesn't know many alumni,most/many > not,1969.796,409.3913279,241.3373738,alumnus,623.792
subj24_shorten_mono,all the magnolias won't bloom,not > all,1622.892,354.6886102,252.4071768,magnolia,370.212
subj24_shorten_mono,all the magnolias won't bloom,all > not,1812.444,420.1256188,209.8504242,magnolia,446.862
subj25_shorten_mono,all the moms didn't allow eyeliner,all > not,2274.635,217.5051421,140.6507576,eyeliner,713.286
subj25_shorten_mono,all the moms didn't allow eyeliner,not > all,2026.406,259.9946788,118.0303401,eyeliner,636.171
subj25_shorten_mono,Neil doesn't enjoy most musicals,not > most/many,2374.874,217.1734844,151.4654348,musical ,728.175
subj25_shorten_mono,Neil doesn't enjoy most musicals,most/many > not,2232.676,183.0040903,137.2532812,musical ,675.074
subj25_shorten_mono,all the woollining wasn't worn,not > all,1931.883,215.301495,148.5304756,wool,428.615
subj25_shorten_mono,all the woollining wasn't worn,all > not,2105.528,267.2080419,174.0955833,wool,500.223
subj25_shorten_mono,Liam doesn't know many alumni,not > most/many,2211.58,208.2056285,128.3375958,alumnus,671.727
subj25_shorten_mono,Liam doesn't know many alumni,most/many > not,1800.621,155.8684165,121.4702384,alumnus,603.443
subj25_shorten_mono,all the magnolias won't bloom,not > all,1988.823,207.3400174,131.6019699,magnolia,464.634
subj25_shorten_mono,all the magnolias won't bloom,all > not,1808.273,214.7633345,118.2445352,magnolia,543.111
subj26_shorten_mono,all the moms didn't allow eyeliner,all > not,2537.489,396.3056275,257.7409345,eyeliner,728.346
subj26_shorten_mono,all the moms didn't allow eyeliner,not > all,2418.93,380.2356233,182.9765403,eyeliner,619.448
subj26_shorten_mono,Neil doesn't enjoy most musicals,not > most/many,2576.531,344.738315,223.6403084,musical ,785.488
subj26_shorten_mono,Neil doens't enjoy most musicals,most/many > not,2665.118,338.9962115,226.0410542,musical ,806.155
subj26_shorten_mono,all the woollining wasn't worn,not > all,2363.026,322.8004876,213.5751418,wool,633.988
subj26_shorten_mono,all the woollining wasn'tworn,all > not,2109.348,418.4338423,222.656602,wool,544.43
subj26_shorten_mono,Liam doesn't know many alumni,not > most/many,2083.444,322.6988301,203.0232189,alumnus,740.142
subj26_shorten_mono,Liam doesn't know many alumni,most/many > not,1998.896,269.4954612,204.6304881,alumnus,670.642
subj26_shorten_mono,all the magnolias won't bloom,not > all,2115.473,334.8881617,230.125617,magnolia,557.439
subj26_shorten_mono,all the magnolias won't bloom,all > not,2204.836,409.1981236,203.2674633,magnolia,688.237
subj27_shorten_mono,all the moms didn't allow eyeliner,all > not,1950.889,258.0130665,194.6144144,eyeliner,681.105
subj27_shorten_mono,all the moms didn't allow eyeliner,not > all,2011.816,237.4491172,190.6395271,eyeliner,565.91
subj27_shorten_mono,Neil doesn't enjoy most musicals,not > most/many,2258.032,264.2846498,213.7822019,musical ,746.134
subj27_shorten_mono,Neil doesn't enjoy most musicals,most/many > not,2262.631,230.1917393,189.3475072,musical ,641.895
subj27_shorten_mono,all the woollining wasn't worn,not > all,1837.71,253.388676,199.7609117,wool,357.156
subj27_shorten_mono,all the woolling wasn't worn,all > not,1801.194,396.143232,217.8054382,wool,441.303
subj27_shorten_mono,Liam doens't know many alumni,not > most/many,1841.933,257.2888423,197.291715,alumnus,498.529
subj27_shorten_mono,Liam doesn't know many alumni,most/many > not,1787.963,233.2017543,184.8648789,alumnus,556.352
subj27_shorten_mono,all the magnolias won't bloom,not > all,1755.313,259.0666996,206.620055,magnolia,317.898
subj27_shorten_mono,all the magnolias won't bloom,all > not,1668.668,249.0150248,199.4697788,magnolia,274.709
subj28_shorten_mono,all the moms didn't allow eyeliner,all > not,1839.722,232.1674244,130.1290113,eyeliner,594.779
subj28_shorten_mono,all the moms didn't allow eyeliner,not > all,1652.166,236.2847335,158.2572325,eyeliner,527.513
subj28_shorten_mono,Neil doesn't enjoy most musicals,not > most/many,2000.647,225.170304,165.9526585,musical ,709.205
subj28_shorten_mono,Neild oens't enjoy most musicals,most/many > not,1850.507,241.0285474,189.4659431,musical ,710.485
subj28_shorten_mono,all the woollining wasn't worn,not > all,1536.184,235.370802,166.7601909,wool,390.901
subj28_shorten_mono,all the woollining wasn't worn,all > not,1526.63,282.2701668,182.825059,wool,381.899
subj28_shorten_mono,Liam doesn't know many alumni,not > most/many,1708.59,263.3681028,166.1962188,alumnus,709.419
subj28_shorten_mono,Liam doesn't know many alumni,most/many > not,1564.019,277.385307,157.0646247,alumnus,623.919
subj28_shorten_mono,all the magnolias won't bloom,not > all,1630.148,354.8930429,137.6864705,magnolia,345.26
subj28_shorten_mono,all the magnolias won't bloom,all > not,1428.72,321.2245473,165.8552948,magnolia,253.615
